MONTH,AIRLINE,PERIOD_OF_DAY,total_voos,total_atrasados
8,WN,Tarde,38615,9697
9,AA,Madrugada,809,72
9,AA,Manhã,31136,2347
9,AA,Noite,14876,2627
9,AA,Tarde,26205,3938
9,AS,Madrugada,550,47
9,AS,Manhã,6033,423
9,AS,Noite,3283,335
9,AS,Tarde,4379,409
9,B6,Madrugada,582,162
9,B6,Manhã,8678,681
9,B6,Noite,4962,1408
9,B6,Tarde,6821,1413
9,DL,Madrugada,901,93
9,DL,Manhã,29438,1575
9,DL,Noite,14201,2022
9,DL,Tarde,27517,2733
9,EV,Madrugada,89,10
9,EV,Manhã,17568,1275
9,EV,Noite,8224,1335
9,EV,Tarde,17574,2226
9,F9,Madrugada,442,57
9,F9,Manhã,2867,229
9,F9,Noite,1917,342
9,F9,Tarde,2626,376
9,HA,Madrugada,47,5
9,HA,Manhã,2664,156
9,HA,Noite,1130,120
9,HA,Tarde,2289,380
9,MQ,Manhã,8206,745
9,MQ,Noite,4550,707
9,MQ,Tarde,8078,1263
9,NK,Madrugada,447,71
9,NK,Manhã,3944,553
9,NK,Noite,2563,701
9,NK,Tarde,2926,622
9,OO,Madrugada,127,7
9,OO,Manhã,19099,1648
9,OO,Noite,9102,1351
9,OO,Tarde,18945,2538
9,UA,Madrugada,660,82
9,UA,Manhã,17810,1657
9,UA,Noite,7616,1485
9,UA,Tarde,15586,2640
9,VX,Madrugada,135,0
9,VX,Manhã,2142,142
9,VX,Noite,867,140
9,VX,Tarde,1999,272
9,WN,Manhã,41864,2568
9,WN,Noite,21099,4273
9,WN,Tarde,37298,5742
10,AA,Madrugada,823,71
10,AA,Manhã,32357,2552
10,AA,Noite,15976,2589
10,AA,Tarde,27409,3869
10,AS,Madrugada,506,45
10,AS,Manhã,6130,424
10,AS,Noite,3396,311
10,AS,Tarde,4402,434
10,B6,Madrugada,547,137
10,B6,Manhã,8969,772
10,B6,Noite,5198,1412
10,B6,Tarde,7069,1506
10,DL,Madrugada,941,74
10,DL,Manhã,31013,1646
10,DL,Noite,15071,1777
10,DL,Tarde,28510,2769
10,EV,Madrugada,78,9
10,EV,Manhã,18313,1568
10,EV,Noite,8247,1334
10,EV,Tarde,18613,2707
10,F9,Madrugada,402,58
10,F9,Manhã,2959,323
10,F9,Noite,1966,312
10,F9,Tarde,2762,377
10,HA,Madrugada,49,5
10,HA,Manhã,2698,117
10,HA,Noite,1191,55
10,HA,Tarde,2292,181
10,MQ,Manhã,8615,665
10,MQ,Noite,4766,567
10,MQ,Tarde,8328,997
10,NK,Madrugada,440,78
10,NK,Manhã,4133,533
10,NK,Noite,2595,583
10,NK,Tarde,2979,608
10,OO,Madrugada,147,7
10,OO,Manhã,19640,1807
10,OO,Noite,9363,1070
10,OO,Tarde,19417,2585
10,UA,Madrugada,749,84
10,UA,Manhã,19622,2013
10,UA,Noite,8612,1563
10,UA,Tarde,16783,2602
10,VX,Madrugada,140,2
10,VX,Manhã,2227,231
10,VX,Noite,955,181
10,VX,Tarde,2119,416
10,WN,Manhã,43985,2886
10,WN,Noite,21577,4268
10,WN,Tarde,38632,6509
11,AA,Madrugada,1142,118
11,AA,Manhã,30973,2783
11,AA,Noite,15194,2871
11,AA,Tarde,26010,4162
11,AS,Madrugada,588,83
11,AS,Manhã,5730,423
11,AS,Noite,3183,444
11,AS,Tarde,4403,517
11,B6,Madrugada,555,116
11,B6,Manhã,8640,600
11,B6,Noite,5272,1371
11,B6,Tarde,7118,1351
11,DL,Madrugada,1009,109
11,DL,Manhã,29452,2007
