MONTH,AIRLINE,ORIGIN_AIRPORT,total_voos,total_atrasados,soma_delay
1,DL,PIT,258,34,1703.0
1,DL,PNS,195,18,36.0
1,DL,PSC,22,2,94.0
1,DL,PSP,29,6,1418.0
1,DL,PVD,78,4,236.0
1,DL,PWM,27,2,297.0
1,DL,RDU,400,35,1657.0
1,DL,RIC,220,24,1779.0
1,DL,RNO,88,5,-143.0
1,DL,ROA,27,3,232.0
1,DL,ROC,88,9,1697.0
1,DL,RSW,581,49,991.0
1,DL,SAN,454,23,779.0
1,DL,SAT,211,19,480.0
1,DL,SAV,220,20,571.0
1,DL,SDF,209,16,188.0
1,DL,SEA,891,135,5996.0
1,DL,SFO,616,49,2760.0
1,DL,SGF,31,1,-51.0
1,DL,SHV,23,2,47.0
1,DL,SJC,53,5,370.0
1,DL,SJU,290,38,2311.0
1,DL,SLC,2675,303,13358.0
1,DL,SMF,128,13,347.0
1,DL,SNA,223,19,890.0
1,DL,SRQ,188,19,1394.0
1,DL,STL,311,28,945.0
1,DL,STT,100,13,466.0
1,DL,STX,5,2,30.0
1,DL,SYR,86,10,611.0
1,DL,TLH,87,8,493.0
1,DL,TPA,952,102,3225.0
1,DL,TRI,50,2,-79.0
1,DL,TUL,100,7,224.0
1,DL,TUS,71,2,-197.0
1,DL,TYS,72,5,-49.0
1,DL,VPS,130,6,-49.0
1,DL,XNA,46,4,295.0
1,EV,ABE,136,24,1108.0
1,EV,ABQ,90,12,1039.0
1,EV,ABY,79,9,444.0
1,EV,AEX,189,19,1317.0
1,EV,AGS,162,30,1804.0
1,EV,ALB,37,7,337.0
1,EV,AMA,113,14,558.0
1,EV,ATL,5207,1030,52306.0
1,EV,ATW,142,29,1781.0
1,EV,AUS,55,5,246.0
1,EV,AVL,112,12,337.0
1,EV,AVP,110,23,917.0
1,EV,AZO,62,12,1456.0
1,EV,BDL,161,37,2302.0
1,EV,BHM,311,70,2906.0
1,EV,BIS,49,4,-108.0
1,EV,BMI,65,10,1186.0
1,EV,BNA,453,61,1636.0
1,EV,BOS,170,31,1555.0
1,EV,BPT,59,20,1628.0
1,EV,BQK,84,8,197.0
1,EV,BRO,192,29,916.0
1,EV,BTR,473,82,5648.0
1,EV,BTV,146,29,2033.0
1,EV,BUF,134,34,2201.0
1,EV,BWI,21,8,222.0
1,EV,CAE,359,61,5042.0
1,EV,CAK,113,16,545.0
1,EV,CHA,132,10,-200.0
1,EV,CHO,80,12,233.0
1,EV,CHS,170,35,1827.0
1,EV,CID,215,30,1952.0
1,EV,CLE,969,115,3526.0
1,EV,CLL,55,8,871.0
1,EV,CLT,329,70,3329.0
1,EV,CMH,202,50,3136.0
1,EV,COS,88,9,174.0
1,EV,CRP,285,55,2370.0
1,EV,CRW,148,35,2517.0
1,EV,CSG,80,14,680.0
1,EV,CVG,311,60,2903.0
1,EV,CWA,60,11,352.0
1,EV,DAL,202,15,470.0
1,EV,DAY,176,22,314.0
1,EV,DCA,259,36,1571.0
1,EV,DEN,1182,332,18717.0
1,EV,DFW,1327,318,18235.0
1,EV,DHN,116,22,1557.0
1,EV,DIK,53,12,1554.0
1,EV,DRO,17,4,218.0
1,EV,DSM,71,12,1086.0
1,EV,DTW,2405,440,26629.0
1,EV,ECP,22,6,216.0
1,EV,ELM,158,28,1151.0
1,EV,ELP,194,23,829.0
1,EV,ERI,119,24,1572.0
1,EV,EVV,132,24,1182.0
1,EV,EWN,55,3,77.0
1,EV,EWR,2391,493,22849.0
1,EV,EYW,32,0,-158.0
1,EV,FAR,115,22,1585.0
1,EV,FAY,125,18,1149.0
1,EV,FNT,62,11,466.0
1,EV,FSD,255,38,3186.0
1,EV,FSM,79,12,773.0
1,EV,FWA,37,10,679.0
1,EV,GGG,31,10,414.0
1,EV,GJT,28,5,253.0
1,EV,GNV,139,25,1853.0
1,EV,GPT,167,17,-33.0
1,EV,GRB,127,15,284.0
1,EV,GRK,136,26,1250.0
1,EV,GRR,223,49,2186.0
1,EV,GSO,338,68,3139.0
1,EV,GSP,222,42,2548.0
1,EV,GTR,83,9,290.0
1,EV,GUC,32,10,719.0
1,EV,HDN,2,2,250.0
1,EV,HOB,43,2,3.0
1,EV,HPN,268,61,3748.0
1,EV,HRL,107,9,-88.0
1,EV,HSV,138,20,474.0
1,EV,IAD,1184,323,20557.0
1,EV,IAH,5738,775,28907.0
1,EV,ICT,155,19,946.0
1,EV,ILM,121,17,458.0
1,EV,IND,252,43,1765.0
1,EV,ISN,119,25,841.0
1,EV,JAN,254,27,1544.0
1,EV,JAX,199,50,2587.0
1,EV,LAN,76,15,1067.0
1,EV,LAW,54,7,307.0
1,EV,LBB,143,27,1192.0
1,EV,LCH,116,19,448.0
1,EV,LEX,288,59,3152.0
1,EV,LFT,341,68,2553.0
1,EV,LGA,898,271,18010.0
1,EV,LIT,247,38,2100.0
1,EV,LNK,147,13,438.0
1,EV,LRD,82,4,-370.0
1,EV,MAF,216,38,1630.0
1,EV,MBS,24,3,171.0
1,EV,MCI,410,50,2104.0
1,EV,MCO,18,7,302.0
1,EV,MDT,90,9,503.0
1,EV,MDW,222,49,3746.0
1,EV,MEI,83,15,669.0
1,EV,MEM,263,45,2869.0
1,EV,MFE,192,23,385.0
1,EV,MGM,193,28,1158.0
1,EV,MHK,31,3,34.0
1,EV,MHT,98,17,1348.0
1,EV,MKE,216,22,1153.0
1,EV,MLI,200,43,2328.0
