MONTH,AIRLINE,STATE,total_voos,total_atrasados
1,WN,FL,8885,1566
1,WN,GA,3610,849
1,WN,IA,90,16
1,WN,ID,270,48
1,WN,IL,6050,1551
1,WN,IN,813,128
1,WN,KS,137,22
1,WN,KY,325,49
1,WN,LA,1541,224
1,WN,MA,672,122
1,WN,MD,5131,1294
1,WN,ME,63,5
1,WN,MI,870,160
1,WN,MN,637,126
1,WN,MO,4084,795
1,WN,NC,903,153
1,WN,NE,437,80
1,WN,NH,311,44
1,WN,NJ,451,102
1,WN,NM,957,223
1,WN,NV,6462,1390
1,WN,NY,2155,467
1,WN,OH,1565,235
1,WN,OK,915,152
1,WN,OR,793,138
1,WN,PA,1439,231
1,WN,PR,290,46
1,WN,RI,462,90
1,WN,SC,295,41
1,WN,TN,2437,464
1,WN,TX,12653,2465
1,WN,UT,814,160
1,WN,VA,1703,217
1,WN,WA,1043,205
1,WN,WI,1089,184
2,AA,AL,48,9
2,AA,AZ,663,89
2,AA,CA,4244,554
2,AA,CO,688,137
2,AA,CT,73,13
2,AA,FL,5808,1071
2,AA,GA,339,39
2,AA,HI,307,52
2,AA,IA,50,14
2,AA,IL,3374,926
2,AA,IN,131,23
2,AA,KS,53,11
2,AA,KY,23,2
2,AA,LA,223,33
2,AA,MA,659,138
2,AA,MD,181,36
2,AA,MI,210,38
2,AA,MN,312,62
2,AA,MO,546,83
2,AA,NC,604,76
2,AA,NE,137,13
2,AA,NJ,273,44
2,AA,NM,117,24
2,AA,NV,832,105
2,AA,NY,2122,486
2,AA,OH,241,36
2,AA,OK,367,36
2,AA,OR,95,13
2,AA,PA,325,52
2,AA,PR,326,40
2,AA,TN,279,42
2,AA,TX,11886,2105
2,AA,UT,150,21
2,AA,VA,1028,174
2,AA,VI,145,25
2,AA,WA,314,27
2,AA,WI,78,11
2,AA,WY,30,1
2,AS,AK,2067,257
2,AS,AZ,235,23
2,AS,CA,2617,257
2,AS,CO,112,8
2,AS,FL,112,13
2,AS,GA,28,3
2,AS,HI,639,98
2,AS,IL,83,13
2,AS,LA,28,5
2,AS,MA,85,13
2,AS,MD,28,2
2,AS,MI,28,4
2,AS,MN,28,1
2,AS,MO,56,2
2,AS,NJ,48,3
2,AS,NM,28,0
2,AS,NV,356,34
2,AS,OR,1025,88
2,AS,PA,28,5
2,AS,TX,180,17
2,AS,UT,192,12
2,AS,VA,108,15
